Priority,Name,Fund,Fit Score (1-5),Stage Match,Check Size Fit,Thesis Alignment,Role,Stage Focus,Sector Focus,Check Size,Location,Why They Fit Skillvee,Outreach Angle,LinkedIn/Website
1,Anne Dwane,Village Global,5,✅ Yes,✅ Yes,"HR/Talent Tech, AI",Partner,Seed,"AI, Human Capital, EdTech",$250K-$1.5M,San Francisco,"PERFECT FIT: Human capital + AI focus directly aligns with developer assessment. EdTech background (Chegg, Zinch) = understands skills evaluation.","Pitch as AI-powered talent assessment that shows HOW developers work, not just credentials. Reference her Military.com work on matching talent.",https://www.villageglobal.com/team/anne-dwane
2,Utkarsh Bajpai,General Catalyst,5,✅ Yes,✅ Yes,"Enterprise, AI",Investor,"Seed, Series A+","Enterprise, AI",$33B AUM firm,San Francisco,"Enterprise AI focus perfect for B2B recruiting tool. GC has deep enterprise SaaS expertise and can lead rounds.","Position as Enterprise AI for technical hiring. Emphasize the 'day at work' simulation angle.",https://www.generalcatalyst.com/team/utkarsh-bajpai
3,Maxim Karoubi,NextGen Venture Partners,5,✅ Yes,✅ Yes,"B2B SaaS, HR-adjacent",Investor,"Pre-seed, Seed","B2B SaaS, Healthtech, Fintech, Data, Robotics",$500K-$2M,San Francisco,"B2B SaaS focus + explicit pre-seed/seed stage. 1800+ venture partners = massive network for intros to recruiting/HR buyers.","Frame as B2B SaaS for technical recruiting. Highlight AI + data differentiation.",https://nextgenvp.com/team
4,Amir Kabir,Overlook Ventures,4,✅ Yes,✅ Yes,"Technical teams, Data",Founding & Managing Partner,"Pre-seed, Seed","Risk/Data/Tech, Insurtech, Fintech",$30M target fund,San Francisco,"Invests in technical teams solving real problems. His thesis around 'data + tech' fits. Pre-seed focus = right stage.","Emphasize technical founding team. Position as reducing hiring risk through better signal.",https://www.overlook.vc/about
5,Kunaal Patel,Acrew Capital,4,✅ Yes,⚠️ May be large,"Data, AI applications",Investor,"Seed, Series A","Healthcare, Data/Security, Fintech",Avg $6.68M Seed,San Francisco,"Data science background (Tempus AI) = appreciates AI/ML applications. Acrew's Data practice could see Skillvee as talent data platform.","Position as AI-powered talent intelligence. His data science background = speak technically.",https://www.acrewcapital.com/team
6,Anitha Vadavatha,AB Plus Ventures,4,✅ Yes,✅ Yes,"AI, Venture Studio",Founder & Managing Partner,"Pre-seed, Seed","AI, Biotech, Web3",-,San Francisco,"AI venture studio = hands-on support. Also Venture Partner at Full Stack VC. Multiple touchpoints in ecosystem.","Pitch the AI angle heavily. Venture studio model means she can provide operational help.",https://www.linkedin.com/in/anithavadavatha/
7,Vicky Kuang,Draper Associates,4,✅ Yes,✅ Yes,"Tech, AI",Investor,Early Stage,"Blockchain, DeFi, Web3, MedTech, FoodTech",-,San Francisco,"Draper brand opens doors. Early stage focus. Though sector focus is different, Draper invests broadly in transformative tech.","Lead with AI transformation of hiring. Tim Draper loves bold visions.",https://www.draper.vc/team/vicky-kuang
8,Santiago Zavala,500 Global,3,✅ Yes,✅ Yes,Generalist + HR,Managing Partner,Seed,"Fintech, Healthtech, HR, Digital Transformation",$50K-$500K,Mexico/LatAm,"Explicit HR focus in thesis. 500's accelerator model = great for early stage. Caveat: LatAm geographic focus.","If you have any LatAm expansion plans or LatAm customers, lead with that. HR focus is perfect.",https://latam.500.co/team/santiago-zavala
9,Juhana Peltomaa,a16z Scout,3,✅ Yes,⚠️ Small checks,Generalist,$10-25K,Scout,Pre-seed,Generalist,$10K-$25K,Paris,"a16z brand + network access. Small check but strategic value. Runs Operators & Friends = knows operators.","Worth a small check for the a16z signal. Position as 'operators evaluating operators.'",https://www.linkedin.com/in/juhana-peltomaa/
10,Leonid Litvak,Angelneers,3,✅ Yes,✅ Yes,"Operators, Technical",Co-Founding Partner,Early Stage,Tech (generalist),-,Mountain View,"Operator angels with hands-on approach. Ex-Google/Facebook = understands technical hiring pain. Can provide warm intros.","Pitch the developer experience angle. They've hired engineers at scale, know the pain.",https://www.angelneers.com/team/
11,Neda Emami,Bay Angels,3,✅ Yes,✅ Yes,Software/Tech,Committee Chair,Angel/Seed,"Software, Fintech, Healthtech",-,San Francisco,"Angel network = multiple potential investors from one pitch. 27 years in Silicon Valley = deep networks.","Apply to pitch at their Startup Pitch Night. Good for building angel syndicate.",https://www.linkedin.com/in/neda-emami/
12,David Chi,Beta Fund / Beta University,3,✅ Yes,✅ Yes,"Exponential Tech, AI",Managing Partner,"Pre-seed, Seed","Exponential Tech, AI",-,USA/Asia,"Pre-seed focus + AI thesis alignment. Helps founders become VC-fundable = advisory angle.","Position as exponential tech in hiring. Emphasize scalability.",https://www.linkedin.com/in/davidchi98/
13,Nikul Bhatt,KFC Ventures,3,⚠️ Maybe,✅ Yes,"Enterprise, AI/ML",Senior Partner,"Seed, Early Growth","AI/ML, Enterprise, Fintech, Security",-,Singapore,"AI/ML + Enterprise B2B focus aligns. Caveat: Singapore-based, may prefer APAC companies.","If you have APAC expansion plans, lead with that. Enterprise AI angle works.",https://kfcventures.com/our-leadership
14,Diego Vargas,NXTP Ventures,2,✅ Yes,✅ Yes,B2B SaaS,Analyst,"Pre-seed, Seed, Series A","B2B SaaS, Fintech, E-commerce",$500K-$5M,Latin America,"B2B SaaS fits but strong LatAm geographic focus. Great if expanding to LatAm.","Only prioritize if LatAm is part of your roadmap.",https://www.nxtp.vc/team
15,Hongkyu Choi,Springcamp VC,2,✅ Yes,✅ Yes,Tech/Consumer,Partner,Seed,"Tech, Gaming, Consumer, Enterprise",-,"Palo Alto, Seoul","Seed stage fits but Korea/gaming focus may not align. Worth exploring if APAC relevant.","Deprioritize unless Korea expansion is planned.",https://www.springcamp.co/
16,Carlo Chen-Delantar,Gobi Partners,2,✅ Yes,⚠️ May be large,ESG/Digital Economy,Partner,"Seed, Series A","ESG, Circular Economy, Digital Economy",$1.5B AUM,Philippines,"ASEAN focus + ESG thesis doesn't directly align. Only relevant if Philippines/ASEAN expansion.","Deprioritize unless ASEAN market is target.",https://gobi.vc/person/carlo-delantar/
17,Ramya Iyer,Entrepreneurs First,2,❌ Different model,N/A,Talent investing,Investment Fellow,Pre-company,Generalist,$10K grant,-,"EF invests in individuals PRE-company. You already have a company, so not the right fit.","Not applicable - EF is for pre-company individuals.",https://www.joinef.com/
18,Andrew Allen,Peptone,1,❌ No,N/A,Biotech executive,Executive Chairman,N/A - Not a VC,Biotech,-,Cambridge MA,"⚠️ NOT A VC - Biotech executive. Skip for fundraising purposes.","Skip - not an investor.",https://peptone.io/people/dr-andrew-allen/
19,Phyllis Lin,CITRIS Banatao Institute,1,❌ No,N/A,Academic/Research,Research Analyst,N/A - Academic,Research,-,UC Berkeley,"⚠️ NOT A VC - Academic researcher at UC Berkeley institute.","Skip - not an investor.",https://citris-uc.org/people/person/phyllis-lin/
20,Denis Belyavsky,12SF,1,❌ No,N/A,Community organizer,Founder/Organizer,N/A - Community,AI Founders,-,San Francisco,"⚠️ NOT A VC - Runs founder community. Could be good for intros/networking but not investment.","Network with him for founder community access, not investment.",https://lu.ma/ehhte6vt
